Period_Date,Year_Month,Year,Month_Name,Fin_Year,Total_Qty_mL,Total_Cost_GBP,Total_Vials,Vials_500mg_eq,Trusts_Reporting,Days_In_Month,Data_Source,Data_Reliability,Avg_Cost_Per_Vial,Vials_Per_Day,Cost_Per_Day_GBP,Cost_YoY_pct,Vol_YoY_pct
2019-04-01,201904,2019,Apr,2019/20,264164.0,2076544.42,19332.4,26416.4,129,30,Finalised,Validated (Finalised),107.41,644.4,69218.0,,
2019-05-01,201905,2019,May,2019/20,295247.0,2320116.55,21494.9,29524.7,129,31,Finalised,Validated (Finalised),107.94,693.4,74842.0,,
2019-06-01,201906,2019,Jun,2019/20,269800.0,2119305.7,19077.6,26980.0,125,30,Finalised,Validated (Finalised),111.09,635.9,70644.0,,
2019-07-01,201907,2019,Jul,2019/20,319888.0,2512666.47,22478.4,31988.8,134,31,Finalised,Validated (Finalised),111.78,725.1,81054.0,,
2019-08-01,201908,2019,Aug,2019/20,273035.0,2143899.89,19092.3,27303.5,130,31,Finalised,Validated (Finalised),112.29,615.9,69158.0,,
2019-09-01,201909,2019,Sep,2019/20,270010.0,2118792.3,18736.2,27001.0,129,30,Finalised,Validated (Finalised),113.09,624.5,70626.0,,
2019-10-01,201910,2019,Oct,2019/20,308357.0,2568674.72,21309.5,30835.7,130,31,Finalised,Validated (Finalised),120.54,687.4,82860.0,,
2019-11-01,201911,2019,Nov,2019/20,290400.0,2413782.94,19739.6,29040.0,132,30,Finalised,Validated (Finalised),122.28,658.0,80459.0,,
2019-12-01,201912,2019,Dec,2019/20,283382.0,2358968.68,19630.6,28338.2,135,31,Finalised,Validated (Finalised),120.17,633.2,76096.0,,
2020-01-01,202001,2020,Jan,2019/20,307204.6,2537129.17,20515.7,30720.5,130,31,Finalised,Validated (Finalised),123.67,661.8,81843.0,,
2020-02-01,202002,2020,Feb,2019/20,301378.0,2489501.0,20114.2,30137.8,129,29,Finalised,Validated (Finalised),123.77,693.6,85845.0,,
2020-03-01,202003,2020,Mar,2019/20,265823.0,2198266.53,17913.5,26582.3,133,31,Finalised,Validated (Finalised),122.72,577.9,70912.0,,
2020-04-01,202004,2020,Apr,2020/21,137600.0,1125596.98,8884.4,13760.0,121,30,Finalised,Validated (Finalised),126.69,296.1,37520.0,-45.79470734365509,-47.91114610620675
2020-05-01,202005,2020,May,2020/21,203080.0,1656285.0,13069.6,20308.0,129,31,Finalised,Validated (Finalised),126.73,421.6,53429.0,-28.61199149672028,-31.216913296324776
2020-06-01,202006,2020,Jun,2020/21,268215.0,2185627.08,17060.5,26821.5,132,30,Finalised,Validated (Finalised),128.11,568.7,72854.0,3.1293918569652357,-0.5874722016308342
2020-07-01,202007,2020,Jul,2020/21,302684.0,2469578.93,19302.2,30268.4,135,31,Finalised,Validated (Finalised),127.94,622.7,79664.0,-1.7148133472724703,-5.378132346321207
2020-08-01,202008,2020,Aug,2020/21,269946.2,2207785.85,17421.8,26994.6,129,31,Finalised,Validated (Finalised),126.73,562.0,71219.0,2.9798947375289986,-1.1312835350779205
2020-09-01,202009,2020,Sep,2020/21,298176.0,2433550.6,19026.4,29817.6,137,30,Finalised,Validated (Finalised),127.9,634.2,81118.0,14.855552382364245,10.431465501277737
2020-10-01,202010,2020,Oct,2020/21,291534.0,2385305.51,18835.2,29153.4,131,31,Finalised,Validated (Finalised),126.64,607.6,76945.0,-7.138669936378728,-5.455689347087955
2020-11-01,202011,2020,Nov,2020/21,288733.0,2356938.08,18432.7,28873.3,131,30,Finalised,Validated (Finalised),127.87,614.4,78565.0,-2.3550112588002547,-0.5740358126721801
2020-12-01,202012,2020,Dec,2020/21,288204.3,2351705.15,18519.6,28820.4,131,31,Finalised,Validated (Finalised),126.98,597.4,75861.0,-0.3079112521324423,1.7016959439907886
2021-01-01,202101,2021,Jan,2020/21,236804.0,1925988.72,14958.8,23680.4,132,31,Finalised,Validated (Finalised),128.75,482.5,62129.0,-24.0878729087333,-22.916518828168584
2021-02-01,202102,2021,Feb,2020/21,267302.0,2171760.13,16773.2,26730.2,134,28,Finalised,Validated (Finalised),129.48,599.0,77563.0,-12.763235282894048,-11.306731081897148
2021-03-01,202103,2021,Mar,2020/21,342292.0,2786245.58,21690.4,34229.2,136,31,Finalised,Validated (Finalised),128.46,699.7,89879.0,26.747395821925203,28.76688623633019
2021-04-01,202104,2021,Apr,2021/22,340088.0,2771337.97,21581.8,34008.8,128,30,Finalised,Validated (Finalised),128.41,719.4,92378.0,146.21050155980342,147.15697674418604
2021-05-01,202105,2021,May,2021/22,350027.0,2844928.82,21958.1,35002.7,130,31,Finalised,Validated (Finalised),129.56,708.3,91772.0,71.76565748044568,72.35916880047273
2021-06-01,202106,2021,Jun,2021/22,376069.0,3064434.54,23933.9,37606.9,133,30,Finalised,Validated (Finalised),128.04,797.8,102148.0,40.208481494473425,40.21177040806816
2021-07-01,202107,2021,Jul,2021/22,366647.0,2978241.75,23061.9,36664.7,132,31,Finalised,Validated (Finalised),129.14,743.9,96072.0,20.597147708901133,21.13193958055266
2021-08-01,202108,2021,Aug,2021/22,324349.0,2631767.36,20463.9,32434.9,129,31,Finalised,Validated (Finalised),128.61,660.1,84896.0,19.203923695769664,20.153200897067624
2021-09-01,202109,2021,Sep,2021/22,334450.0,2716833.21,21116.0,33445.0,134,30,Finalised,Validated (Finalised),128.66,703.9,90561.0,11.640711723849083,12.165298347284814
2021-10-01,202110,2021,Oct,2021/22,323676.0,2620964.58,20109.6,32367.6,129,31,Finalised,Validated (Finalised),130.33,648.7,84547.0,9.879617894313263,11.025129144456569
2021-11-01,202111,2021,Nov,2021/22,345426.0,2796576.87,21574.8,34542.6,132,30,Finalised,Validated (Finalised),129.62,719.2,93219.0,18.652963085054818,19.63509539955599
2021-12-01,202112,2021,Dec,2021/22,336972.0,2730071.16,20982.8,33697.2,129,31,Finalised,Validated (Finalised),130.11,676.9,88067.0,16.089007161463265,16.92122567220544
2022-01-01,202201,2022,Jan,2021/22,313895.0,2533806.93,19260.7,31389.5,130,31,Finalised,Validated (Finalised),131.55,621.3,81736.0,31.558762711756707,32.55477103427307
2022-02-01,202202,2022,Feb,2021/22,344336.0,2779254.61,21066.6,34433.6,130,28,Finalised,Validated (Finalised),131.93,752.4,99259.0,27.97244832006378,28.81908852159729
2022-03-01,202203,2022,Mar,2021/22,388145.0,3143652.2,24112.3,38814.5,134,31,Finalised,Validated (Finalised),130.38,777.8,101408.0,12.827534750185233,13.395872529886766
2022-04-01,202204,2022,Apr,2022/23,353689.0,2860559.9,21819.1,35368.9,130,30,Finalised,Validated (Finalised),131.1,727.3,95352.0,3.2194532375998675,3.999259015313683
2022-05-01,202205,2022,May,2022/23,412364.0,3333283.2399999998,25423.6,41236.4,136,31,Finalised,Validated (Finalised),131.11,820.1,107525.0,17.16578694576969,17.809197576186975
2022-06-01,202206,2022,Jun,2022/23,381634.0,2837574.7,23919.2,38163.4,134,30,Finalised,Validated (Finalised),118.63,797.3,94586.0,-7.4029918746445045,1.4797816358168348
2022-07-01,202207,2022,Jul,2022/23,377984.0,2811897.2,23706.6,37798.4,130,31,Finalised,Validated (Finalised),118.61,764.7,90706.0,-5.585327316024625,3.0920749385648927
2022-08-01,202208,2022,Aug,2022/23,394418.0,2923805.9,24540.0,39441.8,129,31,Finalised,Validated (Finalised),119.14,791.6,94316.0,11.096670033934908,21.60296470776848
2022-09-01,202209,2022,Sep,2022/23,352750.0,2618054.5,21897.0,35275.0,128,30,Finalised,Validated (Finalised),119.56,729.9,87268.0,-3.6358032446165534,5.471669905815513
2022-10-01,202210,2022,Oct,2022/23,385071.0,2858736.75,23995.0,38507.1,131,31,Finalised,Validated (Finalised),119.14,774.0,92217.0,9.071933738227012,18.968042116190254
2022-11-01,202211,2022,Nov,2022/23,410182.0,3046002.1,25629.0,41018.2,132,30,Finalised,Validated (Finalised),118.85,854.3,101533.0,8.918947756297513,18.746706964733395
2022-12-01,202212,2022,Dec,2022/23,355586.0,2640656.3,22380.0,35558.6,129,31,Finalised,Validated (Finalised),117.99,721.9,85182.0,-3.2751842263335162,5.523901095640005
2023-01-01,202301,2023,Jan,2022/23,374072.0,2771675.6,23236.0,37407.2,133,31,Finalised,Validated (Finalised),119.28,749.5,89409.0,9.387797751425353,19.171060386434945
