Formulation,Period_Date,Total_Qty_mL,Total_Cost_GBP,Total_Vials
1000mg/20mL,2019-04-01,167040.0,1288128.96,8352.0
1000mg/20mL,2019-05-01,188580.0,1454234.67,9429.0
1000mg/20mL,2019-06-01,174400.0,1344885.6,8720.0
1000mg/20mL,2019-07-01,206960.0,1595972.04,10348.0
1000mg/20mL,2019-08-01,178480.0,1376348.52,8924.0
1000mg/20mL,2019-09-01,179840.0,1386836.16,8992.0
1000mg/20mL,2019-10-01,203340.0,1568056.41,10167.0
1000mg/20mL,2019-11-01,195560.0,1508060.94,9778.0
1000mg/20mL,2019-12-01,188920.0,1456856.58,9446.0
1000mg/20mL,2020-01-01,215760.0,1663833.24,10788.0
1000mg/20mL,2020-02-01,211400.0,1630211.0999999999,10570.0
1000mg/20mL,2020-03-01,185120.0,1427552.88,9256.0
1000mg/20mL,2020-04-01,102520.0,790582.98,5126.0
1000mg/20mL,2020-05-01,154000.0,1187571.0,7700.0
1000mg/20mL,2020-06-01,204420.0,1576384.83,10221.0
1000mg/20mL,2020-07-01,229020.0,1766087.73,11451.0
1000mg/20mL,2020-08-01,201360.0,1552787.64,10068.0
1000mg/20mL,2020-09-01,225200.0,1736629.8,11260.0
1000mg/20mL,2020-10-01,216940.0,1672932.81,10847.0
1000mg/20mL,2020-11-01,217820.0,1679718.93,10891.0
1000mg/20mL,2020-12-01,217920.0,1680490.08,10896.0
1000mg/20mL,2021-01-01,182480.0,1407194.52,9124.0
1000mg/20mL,2021-02-01,207220.0,1597977.03,10361.0
1000mg/20mL,2021-03-01,262520.0,2024422.98,13126.0
1000mg/20mL,2021-04-01,259180.0,1998666.57,12959.0
1000mg/20mL,2021-05-01,270780.0,2088119.97,13539.0
1000mg/20mL,2021-06-01,286660.0,2210578.59,14333.0
1000mg/20mL,2021-07-01,284600.0,2194692.9,14230.0
1000mg/20mL,2021-08-01,253340.0,1953631.41,12667.0
1000mg/20mL,2021-09-01,259540.0,2001442.71,12977.0
1000mg/20mL,2021-10-01,255720.0,1971984.78,12786.0
1000mg/20mL,2021-11-01,273180.0,2106627.57,13659.0
1000mg/20mL,2021-12-01,265440.0,2046940.56,13272.0
1000mg/20mL,2022-01-01,252320.0,1945765.68,12616.0
1000mg/20mL,2022-02-01,276940.0,2135622.81,13847.0
1000mg/20mL,2022-03-01,306300.0,2362032.45,15315.0
1000mg/20mL,2022-04-01,281300.0,2169244.95,14065.0
1000mg/20mL,2022-05-01,328960.0,2536775.04,16448.0
1000mg/20mL,2022-06-01,298900.0,2047465.0,14945.0
1000mg/20mL,2022-07-01,295500.0,2024175.0,14775.0
1000mg/20mL,2022-08-01,312180.0,2138433.0,15609.0
1000mg/20mL,2022-09-01,278040.0,1904574.0,13902.0
1000mg/20mL,2022-10-01,303219.0,2077050.15,15161.0
1000mg/20mL,2022-11-01,322680.0,2210358.0,16134.0
1000mg/20mL,2022-12-01,279700.0,1915945.0,13985.0
1000mg/20mL,2023-01-01,296560.0,2031436.0,14828.0
1000mg/20mL,2023-02-01,309100.0,2383624.65,15455.0
1000mg/20mL,2023-03-01,353540.0,2726323.71,17677.0
1000mg/20mL,2023-04-01,290160.0,2237568.84,14508.0
1000mg/20mL,2023-05-01,337520.0,2602785.48,16876.0
1000mg/20mL,2023-06-01,360276.0,2778268.37,18013.8
1000mg/20mL,2023-07-01,334570.0,2580036.56,16728.5
1000mg/20mL,2023-08-01,330520.0,2548804.98,16526.0
1000mg/20mL,2023-09-01,307920.0,2374525.08,15396.0
1000mg/20mL,2023-10-01,306050.0,2360104.58,15302.5
1000mg/20mL,2023-11-01,323220.0,2492511.03,16161.0
1000mg/20mL,2023-12-01,303120.0,2337509.88,15156.0
1000mg/20mL,2024-01-01,323320.0,2493282.18,16166.0
1000mg/20mL,2024-02-01,336720.0,2596616.28,16836.0
1000mg/20mL,2024-03-01,334000.0,2575641.0,16700.0
1000mg/20mL,2024-04-01,329560.0,2541401.94,16478.0
1000mg/20mL,2024-05-01,372480.0,2872379.52,18624.0
1000mg/20mL,2024-06-01,336240.0,2592914.76,16812.0
1000mg/20mL,2024-07-01,371854.0,2867552.13,18592.7
1000mg/20mL,2024-08-01,327945.0,2528947.87,16397.2
1000mg/20mL,2024-09-01,318840.0,2458734.66,15942.0
1000mg/20mL,2024-10-01,343046.0,2645399.23,17152.3
1000mg/20mL,2024-11-01,316720.0,2442386.28,15836.0
1000mg/20mL,2024-12-01,306840.0,2366196.66,15342.0
1000mg/20mL,2025-01-01,326550.0,2518190.33,16327.5
1000mg/20mL,2025-02-01,307400.0,2370515.1,15370.0
1000mg/20mL,2025-03-01,327774.0,2527629.21,16388.7
1000mg/20mL,2025-04-01,329420.0,2540322.33,16471.0
1000mg/20mL,2025-05-01,343780.0,2651059.47,17189.0
1000mg/20mL,2025-06-01,338740.0,2612193.5100000002,16937.0
1000mg/20mL,2025-07-01,357160.0,2754239.34,17858.0
1000mg/20mL,2025-08-01,299960.0,2313141.54,14998.0
1000mg/20mL,2025-09-01,320260.0,2469684.99,16013.0
1000mg/20mL,2025-10-01,342570.0,2641728.56,17128.5
1000mg/20mL,2025-11-01,307490.0,2371209.14,15374.5
1000mg/20mL,2025-12-01,316010.0,2436911.12,15800.5
1000mg/20mL,2026-01-01,312600.0,2410614.9,15630.0
100mg/2mL,2019-04-01,3170.0,25734.46,1585.0
100mg/2mL,2019-05-01,3498.0,28397.2,1749.0
100mg/2mL,2019-06-01,2044.0,16593.42,1022.0
100mg/2mL,2019-07-01,2094.0,16999.11,1047.0
100mg/2mL,2019-08-01,1782.0,14466.25,891.0
100mg/2mL,2019-09-01,1818.0,14758.5,909.0
100mg/2mL,2019-10-01,1602.0,13005.06,801.0
100mg/2mL,2019-11-01,1194.0,11402.7,597.0
100mg/2mL,2019-12-01,1846.0,17629.3,923.0
100mg/2mL,2020-01-01,1458.0,13923.9,729.0
