Period_Date,Year_Month,Month_Label,Vials_Forecast,Model,Vials_Prophet,Vials_SARIMA,Vials_Holt_Winters,Vials_XGBoost,Vials_LightGBM,Vials_Random_Forest,Vials_GradientBoost,Vials_Theta,Cost_Forecast_GBP,Vials_Per_Day
2026-02-01,202602,Feb 2026,22805,Prophet,22805,,25144,24470,25903,26332,26168,26212,2909406,814.5
2026-03-01,202603,Mar 2026,23526,Prophet,23526,,26783,24874,26200,26544,26152,28415,3001390,758.9
2026-04-01,202604,Apr 2026,20973,Prophet,20973,,23519,24874,24778,26544,26357,23157,2675684,699.1
2026-05-01,202605,May 2026,23810,Prophet,23810,,26655,24864,24778,26544,25812,26895,3037622,768.1
2026-06-01,202606,Jun 2026,23743,Prophet,23743,,26423,24874,26420,26566,26353,28870,3029074,791.4
2026-07-01,202607,Jul 2026,24559,Prophet,24559,,27041,24874,26508,26566,26148,28822,3133177,792.2
2026-08-01,202608,Aug 2026,22601,Prophet,22601,,25100,24874,26834,26341,26431,27481,2883380,729.1
2026-09-01,202609,Sep 2026,21997,Prophet,21997,,24421,24357,25783,26035,25048,27086,2806324,733.2
2026-10-01,202610,Oct 2026,22901,Prophet,22901,,25049,24243,25122,25968,24860,27433,2921654,738.7
2026-11-01,202611,Nov 2026,22516,Prophet,22516,,25643,24243,25349,25954,24908,27792,2872536,750.5
2026-12-01,202612,Dec 2026,21402,Prophet,21402,,24156,24243,25333,25972,24913,26486,2730415,690.4
2027-01-01,202701,Jan 2027,21247,Prophet,21247,,23698,24140,24959,25989,25047,25696,2710640,685.4
2027-02-01,202702,Feb 2027,21763,Prophet,21763,,24957,24470,25903,26332,26168,27101,2776470,777.2
2027-03-01,202703,Mar 2027,21266,Prophet,21266,,26585,24874,26302,26544,26152,29376,2713064,686.0
2027-04-01,202704,Apr 2027,20387,Prophet,20387,,23345,24874,24778,26544,26357,23938,2600924,679.6
2027-05-01,202705,May 2027,22863,Prophet,22863,,26457,24864,24778,26544,25812,27800,2916806,737.5
2027-06-01,202706,Jun 2027,22121,Prophet,22121,,26227,24874,24860,26566,26353,29838,2822143,737.4
2027-07-01,202707,Jul 2027,22874,Prophet,22874,,26840,24874,26508,26566,26148,29786,2918209,737.9
2027-08-01,202708,Aug 2027,21767,Prophet,21767,,24913,24874,26720,26341,26431,28397,2776981,702.2
2027-09-01,202709,Sep 2027,20570,Prophet,20570,,24239,24357,25523,26035,25048,27987,2624270,685.7
2027-10-01,202710,Oct 2027,21674,Prophet,21674,,24862,24243,25122,25968,24860,28343,2765116,699.2
2027-11-01,202711,Nov 2027,21443,Prophet,21443,,25452,24243,24987,25954,24908,28712,2735646,714.8
2027-12-01,202712,Dec 2027,19846,Prophet,19846,,23976,24243,25333,25972,24913,27359,2531904,640.2
2028-01-01,202801,Jan 2028,20539,Prophet,20539,,23521,24140,25209,25989,25047,26541,2620316,662.5
