Period_Date,Year_Month,Month_Label,Vials_Forecast,Model,Vials_Prophet,Vials_SARIMA,Vials_Holt_Winters,Vials_XGBoost,Vials_LightGBM,Vials_Random_Forest,Vials_GradientBoost,Vials_Theta,Cost_Forecast_GBP,Vials_Per_Day
2026-02-01,202602,Feb 2026,22286,Prophet,22286,,25196,24615,25264,25711,24921,26039,2843194,795.9
2026-03-01,202603,Mar 2026,24043,Prophet,24043,,26883,24615,25080,25784,24970,27941,3067347,775.6
2026-04-01,202604,Apr 2026,21610,Prophet,21610,,25060,24615,26300,25874,24970,26340,2756951,720.3
2026-05-01,202605,May 2026,23864,Prophet,23864,,27934,24615,26514,25879,24973,29164,3044511,769.8
2026-06-01,202606,Jun 2026,23341,Prophet,23341,,27287,25102,27537,26618,26332,29572,2977788,778.0
2026-07-01,202607,Jul 2026,23768,Prophet,23768,,27386,25102,27506,26576,26332,28317,3032263,766.7
2026-08-01,202608,Aug 2026,21685,Prophet,21685,,25574,25102,27840,26523,26332,27424,2766519,699.5
2026-09-01,202609,Sep 2026,20952,Prophet,20952,,25170,24615,25988,25610,24817,26036,2673005,698.4
2026-10-01,202610,Oct 2026,21876,Prophet,21876,,24993,24611,24698,25448,24817,26183,2790887,705.7
2026-11-01,202611,Nov 2026,21498,Prophet,21498,,25384,24535,24857,25448,24821,27749,2742662,716.6
2026-12-01,202612,Dec 2026,20441,Prophet,20441,,24461,24535,25221,25467,24821,26306,2607813,659.4
2027-01-01,202701,Jan 2027,20555,Prophet,20555,,24067,24426,25024,25289,24479,25665,2622357,663.1
2027-02-01,202702,Feb 2027,21028,Prophet,21028,,25196,24615,25264,25711,24921,26839,2682701,751.0
2027-03-01,202703,Mar 2027,22840,Prophet,22840,,26883,24615,25080,25784,24970,28797,2913871,736.8
2027-04-01,202704,Apr 2027,19441,Prophet,19441,,25060,24615,26300,25874,24970,27145,2480235,648.0
2027-05-01,202705,May 2027,22208,Prophet,22208,,27934,24615,26621,25879,24973,30053,2833242,716.4
2027-06-01,202706,Jun 2027,21672,Prophet,21672,,27287,25102,27537,26618,26332,30470,2764861,722.4
2027-07-01,202707,Jul 2027,22031,Prophet,22031,,27386,25102,27506,26576,26332,29175,2810661,710.7
2027-08-01,202708,Aug 2027,20623,Prophet,20623,,25574,25102,26192,26523,26332,28254,2631032,665.3
2027-09-01,202709,Sep 2027,19373,Prophet,19373,,25170,24615,25988,25610,24817,26821,2471560,645.8
2027-10-01,202710,Oct 2027,20269,Prophet,20269,,24993,24611,25003,25448,24817,26971,2585870,653.8
2027-11-01,202711,Nov 2027,20085,Prophet,20085,,25384,24535,24857,25448,24821,28582,2562395,669.5
2027-12-01,202712,Dec 2027,18644,Prophet,18644,,24461,24535,25096,25467,24821,27093,2378556,601.4
2028-01-01,202801,Jan 2028,19044,Prophet,19044,,24067,24426,25107,25289,24479,26432,2429587,614.3
