Period_Date,Month_Label,Fin_Year,NHS_Region,Vials_Forecast,Vials_Lower_80,Vials_Upper_80,Cost_Forecast_GBP,Cost_Lower_GBP,Cost_Upper_GBP,Hist_Region_Share_pct,Model,MAPE_pct
2026-02-01,Feb 2026,2025/26,East of England,882,802,966,113733,103398,124560,5.42,Prophet,15.84
2026-03-01,Mar 2026,2025/26,East of England,910,825,990,117293,106344,127600,5.42,Prophet,15.84
2026-04-01,Apr 2026,2026/27,East of England,833,755,917,107438,97315,118246,5.42,Prophet,15.84
2026-05-01,May 2026,2026/27,East of England,925,837,1028,119221,107913,132557,5.42,Prophet,15.84
2026-06-01,Jun 2026,2026/27,East of England,880,787,980,113489,101412,126296,5.42,Prophet,15.84
2026-07-01,Jul 2026,2026/27,East of England,891,791,1004,114857,101956,129413,5.42,Prophet,15.84
2026-08-01,Aug 2026,2026/27,East of England,770,676,872,99216,87147,112395,5.42,Prophet,15.84
2026-09-01,Sep 2026,2026/27,East of England,753,646,866,97047,83295,111626,5.42,Prophet,15.84
2026-10-01,Oct 2026,2026/27,East of England,811,692,939,104618,89261,121006,5.42,Prophet,15.84
2026-11-01,Nov 2026,2026/27,East of England,764,637,908,98440,82154,117019,5.42,Prophet,15.84
2026-12-01,Dec 2026,2026/27,East of England,770,629,929,99228,81053,119727,5.42,Prophet,15.84
2027-01-01,Jan 2027,2026/27,East of England,755,603,933,97322,77748,120293,5.42,Prophet,15.84
2027-02-01,Feb 2027,2026/27,East of England,793,619,996,102234,79826,128354,5.42,Prophet,15.84
2027-03-01,Mar 2027,2026/27,East of England,830,633,1076,107006,81595,138707,5.42,Prophet,15.84
2027-04-01,Apr 2027,2027/28,East of England,756,556,1003,97469,71660,129271,5.42,Prophet,15.84
2027-05-01,May 2027,2027/28,East of England,837,593,1140,107941,76517,147010,5.42,Prophet,15.84
2027-06-01,Jun 2027,2027/28,East of England,768,527,1095,99061,67990,141175,5.42,Prophet,15.84
2027-07-01,Jul 2027,2027/28,East of England,796,532,1148,102665,68583,148016,5.42,Prophet,15.84
2027-08-01,Aug 2027,2027/28,East of England,713,462,1082,91918,59625,139541,5.42,Prophet,15.84
2027-09-01,Sep 2027,2027/28,East of England,665,411,1020,85800,53018,131563,5.42,Prophet,15.84
2027-10-01,Oct 2027,2027/28,East of England,744,452,1207,95937,58309,155609,5.42,Prophet,15.84
2027-11-01,Nov 2027,2027/28,East of England,691,399,1147,89058,51392,147861,5.42,Prophet,15.84
2027-12-01,Dec 2027,2027/28,East of England,681,378,1201,87860,48780,154808,5.42,Prophet,15.84
2028-01-01,Jan 2028,2027/28,East of England,671,364,1230,86480,46877,158637,5.42,Prophet,15.84
2026-02-01,Feb 2026,2025/26,London,7300,6956,7674,934946,890827,982828,28.8,Prophet,7.0
2026-03-01,Mar 2026,2025/26,London,8063,7669,8435,1032651,982217,1080282,28.8,Prophet,7.0
2026-04-01,Apr 2026,2026/27,London,7111,6736,7490,910721,862688,959306,28.8,Prophet,7.0
2026-05-01,May 2026,2026/27,London,8042,7614,8488,1029907,975109,1087123,28.8,Prophet,7.0
2026-06-01,Jun 2026,2026/27,London,7923,7488,8410,1014760,958941,1077086,28.8,Prophet,7.0
2026-07-01,Jul 2026,2026/27,London,7977,7483,8473,1021571,958355,1085138,28.8,Prophet,7.0
2026-08-01,Aug 2026,2026/27,London,7196,6722,7700,921546,860944,986132,28.8,Prophet,7.0
2026-09-01,Sep 2026,2026/27,London,7141,6599,7753,914492,845137,992895,28.8,Prophet,7.0
2026-10-01,Oct 2026,2026/27,London,7470,6853,8143,956653,877653,1042918,28.8,Prophet,7.0
2026-11-01,Nov 2026,2026/27,London,7219,6571,7973,924538,841532,1021090,28.8,Prophet,7.0
2026-12-01,Dec 2026,2026/27,London,6901,6195,7706,883815,793352,986937,28.8,Prophet,7.0
2027-01-01,Jan 2027,2026/27,London,6934,6143,7840,888048,786783,1004086,28.8,Prophet,7.0
2027-02-01,Feb 2027,2026/27,London,7318,6358,8415,937210,814268,1077691,28.8,Prophet,7.0
2027-03-01,Mar 2027,2026/27,London,8007,6882,9287,1025502,881386,1189452,28.8,Prophet,7.0
2027-04-01,Apr 2027,2027/28,London,6660,5664,7866,852991,725379,1007349,28.8,Prophet,7.0
2027-05-01,May 2027,2027/28,London,7854,6534,9440,1005833,836766,1209043,28.8,Prophet,7.0
2027-06-01,Jun 2027,2027/28,London,7754,6370,9484,993057,815853,1214567,28.8,Prophet,7.0
2027-07-01,Jul 2027,2027/28,London,7763,6281,9750,994209,804406,1248730,28.8,Prophet,7.0
2027-08-01,Aug 2027,2027/28,London,7124,5682,9098,912437,727758,1165239,28.8,Prophet,7.0
2027-09-01,Sep 2027,2027/28,London,6950,5402,9030,890083,691780,1156537,28.8,Prophet,7.0
2027-10-01,Oct 2027,2027/28,London,7318,5597,9667,937177,716804,1238078,28.8,Prophet,7.0
2027-11-01,Nov 2027,2027/28,London,7034,5262,9484,900911,673962,1214644,28.8,Prophet,7.0
2027-12-01,Dec 2027,2027/28,London,6562,4822,9014,840366,617552,1154429,28.8,Prophet,7.0
2028-01-01,Jan 2028,2027/28,London,6727,4858,9410,861507,622118,1205204,28.8,Prophet,7.0
2026-02-01,Feb 2026,2025/26,Midlands,4434,4202,4690,560903,531649,593331,20.27,Prophet,12.18
2026-03-01,Mar 2026,2025/26,Midlands,4581,4327,4839,579599,547402,612138,20.27,Prophet,12.18
2026-04-01,Apr 2026,2026/27,Midlands,4234,4020,4487,535660,508578,567693,20.27,Prophet,12.18
2026-05-01,May 2026,2026/27,Midlands,4600,4344,4840,581934,549609,612377,20.27,Prophet,12.18
2026-06-01,Jun 2026,2026/27,Midlands,4583,4340,4839,579740,549073,612192,20.27,Prophet,12.18
2026-07-01,Jul 2026,2026/27,Midlands,4608,4347,4891,582926,549909,618723,20.27,Prophet,12.18
2026-08-01,Aug 2026,2026/27,Midlands,4297,4051,4562,543633,512481,577145,20.27,Prophet,12.18
2026-09-01,Sep 2026,2026/27,Midlands,4058,3839,4299,513350,485652,543878,20.27,Prophet,12.18
2026-10-01,Oct 2026,2026/27,Midlands,4132,3895,4398,522688,492776,556442,20.27,Prophet,12.18
2026-11-01,Nov 2026,2026/27,Midlands,4166,3938,4456,527046,498192,563694,20.27,Prophet,12.18
